run,latency_ms,gas_used
0,65,467117
1,64,374285
2,64,450582
3,56,368450
4,59,454849
5,55,454638
6,58,444747
7,88,437538
8,121,452647
9,97,437538
10,95,452647
11,56,437538
12,58,452647
13,55,437538
14,66,452647
15,56,437538
16,78,452647
17,65,437538
18,75,452647
19,97,437538
20,65,452647
21,51,437538
22,56,452647
23,49,437538
24,54,452647
25,52,437538
26,57,452647
27,47,437538
28,57,452647
29,48,437538
30,61,452647
31,51,437538
32,56,452647
33,51,437538
34,55,452647
35,50,437538
36,59,452647
37,50,437538
38,56,452647
39,50,437538
40,55,452647
41,50,437538
42,59,452647
43,51,437538
44,55,452647
45,49,437538
46,65,452647
47,73,437538
48,67,452647
49,56,437538
50,57,452647
51,48,437538
52,58,452647
53,58,437538
54,74,452647
55,65,437538
56,67,452647
57,55,437538
58,58,452647
59,50,437538
60,59,452647
61,50,437538
62,89,452647
63,60,437538
64,56,361638
65,50,437538
66,54,361638
67,49,437538
68,59,361638
69,46,437538
70,63,361638
71,51,437538
72,54,361638
73,49,437538
74,55,361638
75,47,437538
76,54,361638
77,48,437538
78,56,361638
79,47,437538
80,56,361638
81,50,437538
82,57,361638
83,49,437538
84,55,361638
85,49,437538
86,63,361638
87,53,437538
88,64,361638
89,58,437538
90,67,361638
91,62,437538
92,71,361638
93,64,437538
94,63,361638
95,49,437538
96,55,361638
97,51,437538
98,59,361638
99,50,437538